country	group	value	ranking	name
CHE	Active Learning	0.3709065	3	Teaching professionals
CHE	Active Learning	0.2996962	4	ICT technicians
CHE	Active Learning	0.2919345	5	Health associate professionals
CYP	Active Learning	0.3929313	2	Science & engineering professionals
CYP	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
CYP	Active Learning	0.3709065	4	Teaching professionals
CYP	Active Learning	0.3459568	5	ICT professionals
CZE	Active Learning	0.3830617	2	Managers
CZE	Active Learning	0.3459568	3	ICT professionals
CZE	Active Learning	0.3447652	4	Business & admin professionals
CZE	Active Learning	0.2996962	5	ICT technicians
DEU	Active Learning	0.3929313	2	Science & engineering professionals
DEU	Active Learning	0.3830617	3	Managers
DEU	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
DEU	Active Learning	0.3709065	5	Teaching professionals
DNK	Active Learning	0.3929313	2	Science & engineering professionals
DNK	Active Learning	0.3830617	3	Managers
DNK	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
DNK	Active Learning	0.3709065	5	Teaching professionals
EST	Active Learning	0.3929313	2	Science & engineering professionals
EST	Active Learning	0.3830617	3	Managers
EST	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
EST	Active Learning	0.3709065	5	Teaching professionals
GRC	Active Learning	0.3929313	2	Science & engineering professionals
GRC	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
GRC	Active Learning	0.3709065	4	Teaching professionals
GRC	Active Learning	0.3459568	5	ICT professionals
ESP	Active Learning	0.3929313	2	Science & engineering professionals
ESP	Active Learning	0.3709065	3	Teaching professionals
ESP	Active Learning	0.3459568	4	ICT professionals
ESP	Active Learning	0.3447652	5	Business & admin professionals
FIN	Active Learning	0.3929313	2	Science & engineering professionals
FIN	Active Learning	0.3830617	3	Managers
FIN	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
FIN	Active Learning	0.3709065	5	Teaching professionals
FRA	Active Learning	0.3830617	2	Managers
FRA	Active Learning	0.3709065	3	Teaching professionals
FRA	Active Learning	0.3459568	4	ICT professionals
FRA	Active Learning	0.2941166	5	Science & engineering associate professionals
HUN	Active Learning	0.3805142	2	"Legal, social & cultural professionals"
HUN	Active Learning	0.3709065	3	Teaching professionals
HUN	Active Learning	0.2996962	4	ICT technicians
HUN	Active Learning	0.2992298	5	Business & admin associate professionals
IRL	Active Learning	0.3929313	2	Science & engineering professionals
IRL	Active Learning	0.3830617	3	Managers
IRL	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
IRL	Active Learning	0.3709065	5	Teaching professionals
ISL	Active Learning	0.3929313	2	Science & engineering professionals
ISL	Active Learning	0.3830617	3	Managers
ISL	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
ISL	Active Learning	0.3709065	5	Teaching professionals
ITA	Active Learning	0.3929313	2	Science & engineering professionals
ITA	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
ITA	Active Learning	0.3709065	4	Teaching professionals
ITA	Active Learning	0.3459568	5	ICT professionals
LTU	Active Learning	0.3830617	2	Managers
LTU	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
LTU	Active Learning	0.3459568	4	ICT professionals
LTU	Active Learning	0.3447652	5	Business & admin professionals
LUX	Active Learning	0.3929313	2	Science & engineering professionals
LUX	Active Learning	0.3830617	3	Managers
LUX	Active Learning	0.3709065	4	Teaching professionals
LUX	Active Learning	0.3459568	5	ICT professionals
LVA	Active Learning	0.3929313	2	Science & engineering professionals
LVA	Active Learning	0.3830617	3	Managers
LVA	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
LVA	Active Learning	0.3709065	5	Teaching professionals
NLD	Active Learning	0.3929313	2	Science & engineering professionals
NLD	Active Learning	0.3830617	3	Managers
NLD	Active Learning	0.3805142	4	"Legal, social & cultural professionals"
NLD	Active Learning	0.3709065	5	Teaching professionals
NOR	Active Learning	0.3830617	2	Managers
NOR	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
NOR	Active Learning	0.3709065	4	Teaching professionals
NOR	Active Learning	0.3459568	5	ICT professionals
POL	Active Learning	0.3830617	2	Managers
POL	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
POL	Active Learning	0.3709065	4	Teaching professionals
POL	Active Learning	0.3459568	5	ICT professionals
PRT	Active Learning	0.3805142	2	"Legal, social & cultural professionals"
PRT	Active Learning	0.3709065	3	Teaching professionals
PRT	Active Learning	0.3459568	4	ICT professionals
PRT	Active Learning	0.3447652	5	Business & admin professionals
ROU	Active Learning	0.3830617	2	Managers
ROU	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
ROU	Active Learning	0.3709065	4	Teaching professionals
ROU	Active Learning	0.3459568	5	ICT professionals
SWE	Active Learning	0.3830617	2	Managers
SWE	Active Learning	0.3709065	3	Teaching professionals
SWE	Active Learning	0.3459568	4	ICT professionals
SWE	Active Learning	0.3447652	5	Business & admin professionals
SVN	Active Learning	0.3929313	2	Science & engineering professionals
SVN	Active Learning	0.3459568	3	ICT professionals
SVN	Active Learning	0.2996962	4	ICT technicians
SVN	Active Learning	0.2992298	5	Business & admin associate professionals
SVK	Active Learning	0.3929313	2	Science & engineering professionals
SVK	Active Learning	0.3830617	3	Managers
SVK	Active Learning	0.3459568	4	ICT professionals
SVK	Active Learning	0.2996962	5	ICT technicians
GBR	Active Learning	0.3830617	2	Managers
GBR	Active Learning	0.3709065	3	Teaching professionals
GBR	Active Learning	0.3459568	4	ICT professionals
GBR	Active Learning	0.2992298	5	Business & admin associate professionals
ZAF	Active Learning	0.3830617	2	Managers
ZAF	Active Learning	0.3805142	3	"Legal, social & cultural professionals"
ZAF	Active Learning	0.3709065	4	Teaching professionals
ZAF	Active Learning	0.3459568	5	ICT professionals
AUT	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
BEL	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
BGR	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
CHE	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
CYP	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
CZE	Active Listening	0.4912734	1	Health professionals
DEU	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
DNK	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
EST	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
GRC	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
ESP	Active Listening	0.4912734	1	Health professionals
FIN	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
FRA	Active Listening	0.4465373	1	Managers
HUN	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
IRL	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
ISL	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
ITA	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
LTU	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
LUX	Active Listening	0.4912734	1	Health professionals
LVA	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
NLD	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
NOR	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
POL	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
PRT	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
ROU	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
SWE	Active Listening	0.4912734	1	Health professionals
SVN	Active Listening	0.4912734	1	Health professionals
SVK	Active Listening	0.4912734	1	Health professionals
GBR	Active Listening	0.4912734	1	Health professionals
ZAF	Active Listening	0.5128282	1	"Legal, social & cultural professionals"
AUT	Active Listening	0.4912734	2	Health professionals
AUT	Active Listening	0.4465373	3	Managers
AUT	Active Listening	0.4449722	4	Business & admin professionals
AUT	Active Listening	0.4358322	5	Teaching professionals
BEL	Active Listening	0.4912734	2	Health professionals
BEL	Active Listening	0.4358322	3	Teaching professionals
BEL	Active Listening	0.4302642	4	Business & admin associate professionals
BEL	Active Listening	0.4289266	5	Science & engineering professionals
BGR	Active Listening	0.4912734	2	Health professionals
BGR	Active Listening	0.4465373	3	Managers
BGR	Active Listening	0.4358322	4	Teaching professionals
BGR	Active Listening	0.4302642	5	Business & admin associate professionals
CHE	Active Listening	0.4358322	2	Teaching professionals
CHE	Active Listening	0.4289266	3	Science & engineering professionals
CHE	Active Listening	0.4163055	4	Health associate professionals
CHE	Active Listening	0.4087598	5	"Legal, social & cultural associate professionals"
CYP	Active Listening	0.4912734	2	Health professionals
CYP	Active Listening	0.4449722	3	Business & admin professionals
CYP	Active Listening	0.4358322	4	Teaching professionals
CYP	Active Listening	0.4302642	5	Business & admin associate professionals
CZE	Active Listening	0.4465373	2	Managers
CZE	Active Listening	0.4449722	3	Business & admin professionals
CZE	Active Listening	0.4163055	4	Health associate professionals
CZE	Active Listening	0.3952906	5	General & keyboard clerks
DEU	Active Listening	0.4912734	2	Health professionals
DEU	Active Listening	0.4465373	3	Managers
DEU	Active Listening	0.4449722	4	Business & admin professionals
DEU	Active Listening	0.4358322	5	Teaching professionals
DNK	Active Listening	0.4912734	2	Health professionals
DNK	Active Listening	0.4465373	3	Managers
DNK	Active Listening	0.4358322	4	Teaching professionals
DNK	Active Listening	0.4302642	5	Business & admin associate professionals
EST	Active Listening	0.4912734	2	Health professionals
EST	Active Listening	0.4465373	3	Managers
EST	Active Listening	0.4449722	4	Business & admin professionals
EST	Active Listening	0.4358322	5	Teaching professionals
GRC	Active Listening	0.4912734	2	Health professionals
GRC	Active Listening	0.4449722	3	Business & admin professionals
GRC	Active Listening	0.4358322	4	Teaching professionals
GRC	Active Listening	0.4302642	5	Business & admin associate professionals
ESP	Active Listening	0.4449722	2	Business & admin professionals
ESP	Active Listening	0.4358322	3	Teaching professionals
ESP	Active Listening	0.4302642	4	Business & admin associate professionals
ESP	Active Listening	0.4289266	5	Science & engineering professionals
FIN	Active Listening	0.4912734	2	Health professionals
FIN	Active Listening	0.4465373	3	Managers
FIN	Active Listening	0.4449722	4	Business & admin professionals
FIN	Active Listening	0.4358322	5	Teaching professionals
FRA	Active Listening	0.4358322	2	Teaching professionals
FRA	Active Listening	0.4289266	3	Science & engineering professionals
FRA	Active Listening	0.4163055	4	Health associate professionals
FRA	Active Listening	0.3952906	5	General & keyboard clerks
HUN	Active Listening	0.4912734	2	Health professionals
HUN	Active Listening	0.4358322	3	Teaching professionals
HUN	Active Listening	0.4302642	4	Business & admin associate professionals
HUN	Active Listening	0.4163055	5	Health associate professionals
IRL	Active Listening	0.4912734	2	Health professionals
IRL	Active Listening	0.4465373	3	Managers
IRL	Active Listening	0.4358322	4	Teaching professionals
IRL	Active Listening	0.4289266	5	Science & engineering professionals
ISL	Active Listening	0.4912734	2	Health professionals
ISL	Active Listening	0.4465373	3	Managers
ISL	Active Listening	0.4449722	4	Business & admin professionals
ISL	Active Listening	0.4358322	5	Teaching professionals
ITA	Active Listening	0.4912734	2	Health professionals
ITA	Active Listening	0.4449722	3	Business & admin professionals
ITA	Active Listening	0.4358322	4	Teaching professionals
ITA	Active Listening	0.4302642	5	Business & admin associate professionals
LTU	Active Listening	0.4912734	2	Health professionals
LTU	Active Listening	0.4465373	3	Managers
LTU	Active Listening	0.4449722	4	Business & admin professionals
LTU	Active Listening	0.4302642	5	Business & admin associate professionals
LUX	Active Listening	0.4465373	2	Managers
LUX	Active Listening	0.4449722	3	Business & admin professionals
LUX	Active Listening	0.4358322	4	Teaching professionals
LUX	Active Listening	0.4302642	5	Business & admin associate professionals
LVA	Active Listening	0.4912734	2	Health professionals
LVA	Active Listening	0.4465373	3	Managers
LVA	Active Listening	0.4358322	4	Teaching professionals
LVA	Active Listening	0.4302642	5	Business & admin associate professionals
NLD	Active Listening	0.4912734	2	Health professionals
NLD	Active Listening	0.4465373	3	Managers
NLD	Active Listening	0.4449722	4	Business & admin professionals
NLD	Active Listening	0.4358322	5	Teaching professionals
NOR	Active Listening	0.4465373	2	Managers
NOR	Active Listening	0.4449722	3	Business & admin professionals
NOR	Active Listening	0.4358322	4	Teaching professionals
NOR	Active Listening	0.4302642	5	Business & admin associate professionals
POL	Active Listening	0.4465373	2	Managers
POL	Active Listening	0.4449722	3	Business & admin professionals
POL	Active Listening	0.4358322	4	Teaching professionals
POL	Active Listening	0.4289266	5	Science & engineering professionals
PRT	Active Listening	0.4912734	2	Health professionals
PRT	Active Listening	0.4449722	3	Business & admin professionals
PRT	Active Listening	0.4358322	4	Teaching professionals
PRT	Active Listening	0.4163055	5	Health associate professionals
ROU	Active Listening	0.4465373	2	Managers
ROU	Active Listening	0.4449722	3	Business & admin professionals
ROU	Active Listening	0.4358322	4	Teaching professionals
ROU	Active Listening	0.4289266	5	Science & engineering professionals
SWE	Active Listening	0.4465373	2	Managers
SWE	Active Listening	0.4449722	3	Business & admin professionals
SWE	Active Listening	0.4358322	4	Teaching professionals
SWE	Active Listening	0.4302642	5	Business & admin associate professionals
SVN	Active Listening	0.4302642	2	Business & admin associate professionals
SVN	Active Listening	0.4289266	3	Science & engineering professionals
SVN	Active Listening	0.4163055	4	Health associate professionals
SVN	Active Listening	0.3952906	5	General & keyboard clerks
SVK	Active Listening	0.4465373	2	Managers
SVK	Active Listening	0.4302642	3	Business & admin associate professionals
SVK	Active Listening	0.4289266	4	Science & engineering professionals
SVK	Active Listening	0.4163055	5	Health associate professionals
GBR	Active Listening	0.4465373	2	Managers
GBR	Active Listening	0.4358322	3	Teaching professionals
GBR	Active Listening	0.4302642	4	Business & admin associate professionals
GBR	Active Listening	0.3952906	5	General & keyboard clerks
ZAF	Active Listening	0.4912734	2	Health professionals
ZAF	Active Listening	0.4465373	3	Managers
ZAF	Active Listening	0.4449722	4	Business & admin professionals
ZAF	Active Listening	0.4358322	5	Teaching professionals
AUT	Administration and Management	0.5680529	1	Managers
BEL	Administration and Management	0.3809685	1	"Skilled agricultural, forestry & fishery workers"
BGR	Administration and Management	0.5680529	1	Managers
CHE	Administration and Management	0.5680529	1	Managers
CYP	Administration and Management	0.4495146	1	Business & admin professionals
CZE	Administration and Management	0.5680529	1	Managers
DEU	Administration and Management	0.5680529	1	Managers
DNK	Administration and Management	0.5680529	1	Managers
EST	Administration and Management	0.5680529	1	Managers
GRC	Administration and Management	0.4495146	1	Business & admin professionals
ESP	Administration and Management	0.4495146	1	Business & admin professionals
FIN	Administration and Management	0.5680529	1	Managers
FRA	Administration and Management	0.5680529	1	Managers
HUN	Administration and Management	0.5680529	1	Managers
IRL	Administration and Management	0.5680529	1	Managers
ISL	Administration and Management	0.5680529	1	Managers
ITA	Administration and Management	0.4495146	1	Business & admin professionals
LTU	Administration and Management	0.5680529	1	Managers
LUX	Administration and Management	0.5680529	1	Managers
LVA	Administration and Management	0.5680529	1	Managers
NLD	Administration and Management	0.5680529	1	Managers
NOR	Administration and Management	0.5680529	1	Managers
POL	Administration and Management	0.5680529	1	Managers
PRT	Administration and Management	0.4495146	1	Business & admin professionals
ROU	Administration and Management	0.3809685	1	"Skilled agricultural, forestry & fishery workers"
SWE	Administration and Management	0.5680529	1	Managers
SVN	Administration and Management	0.5680529	1	Managers
SVK	Administration and Management	0.5680529	1	Managers
GBR	Administration and Management	0.5680529	1	Managers
ZAF	Administration and Management	0.5680529	1	Managers
AUT	Administration and Management	0.4495146	2	Business & admin professionals
AUT	Administration and Management	0.3642749	3	Science & engineering professionals
AUT	Administration and Management	0.3341936	4	Business & admin associate professionals
AUT	Administration and Management	0.3219019	5	ICT professionals
BEL	Administration and Management	0.3642749	2	Science & engineering professionals
BEL	Administration and Management	0.3341936	3	Business & admin associate professionals
BEL	Administration and Management	0.3219019	4	ICT professionals
BEL	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
BGR	Administration and Management	0.3642749	2	Science & engineering professionals
BGR	Administration and Management	0.3341936	3	Business & admin associate professionals
BGR	Administration and Management	0.3219019	4	ICT professionals
BGR	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
CHE	Administration and Management	0.4495146	2	Business & admin professionals
CHE	Administration and Management	0.3341936	3	Business & admin associate professionals
CHE	Administration and Management	0.3219019	4	ICT professionals
CHE	Administration and Management	0.3018155	5	Building trades workers (excl. electricians)
CYP	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
CYP	Administration and Management	0.3642749	3	Science & engineering professionals
CYP	Administration and Management	0.3341936	4	Business & admin associate professionals
CYP	Administration and Management	0.3219019	5	ICT professionals
CZE	Administration and Management	0.4495146	2	Business & admin professionals
CZE	Administration and Management	0.3219019	3	ICT professionals
CZE	Administration and Management	0.2920225	4	Health professionals
CZE	Administration and Management	0.2834158	5	Science & engineering associate professionals
DEU	Administration and Management	0.4495146	2	Business & admin professionals
DEU	Administration and Management	0.3642749	3	Science & engineering professionals
DEU	Administration and Management	0.3341936	4	Business & admin associate professionals
DEU	Administration and Management	0.3219019	5	ICT professionals
DNK	Administration and Management	0.3642749	2	Science & engineering professionals
DNK	Administration and Management	0.3341936	3	Business & admin associate professionals
DNK	Administration and Management	0.3018155	4	Building trades workers (excl. electricians)
DNK	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
EST	Administration and Management	0.4495146	2	Business & admin professionals
EST	Administration and Management	0.3642749	3	Science & engineering professionals
EST	Administration and Management	0.2932513	4	"Legal, social & cultural professionals"
EST	Administration and Management	0.2920225	5	Health professionals
GRC	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
GRC	Administration and Management	0.3642749	3	Science & engineering professionals
GRC	Administration and Management	0.3341936	4	Business & admin associate professionals
GRC	Administration and Management	0.3219019	5	ICT professionals
ESP	Administration and Management	0.3642749	2	Science & engineering professionals
ESP	Administration and Management	0.3341936	3	Business & admin associate professionals
ESP	Administration and Management	0.3219019	4	ICT professionals
ESP	Administration and Management	0.2920225	5	Health professionals
FIN	Administration and Management	0.4495146	2	Business & admin professionals
FIN	Administration and Management	0.3642749	3	Science & engineering professionals
FIN	Administration and Management	0.3341936	4	Business & admin associate professionals
FIN	Administration and Management	0.3219019	5	ICT professionals
FRA	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
FRA	Administration and Management	0.3642749	3	Science & engineering professionals
FRA	Administration and Management	0.3219019	4	ICT professionals
FRA	Administration and Management	0.2834158	5	Science & engineering associate professionals
HUN	Administration and Management	0.4495146	2	Business & admin professionals
HUN	Administration and Management	0.3809685	3	"Skilled agricultural, forestry & fishery workers"
HUN	Administration and Management	0.3642749	4	Science & engineering professionals
HUN	Administration and Management	0.3219019	5	ICT professionals
IRL	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
IRL	Administration and Management	0.3642749	3	Science & engineering professionals
IRL	Administration and Management	0.3219019	4	ICT professionals
IRL	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
ISL	Administration and Management	0.4495146	2	Business & admin professionals
ISL	Administration and Management	0.3642749	3	Science & engineering professionals
ISL	Administration and Management	0.3341936	4	Business & admin associate professionals
ISL	Administration and Management	0.3219019	5	ICT professionals
ITA	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
ITA	Administration and Management	0.3642749	3	Science & engineering professionals
ITA	Administration and Management	0.3341936	4	Business & admin associate professionals
ITA	Administration and Management	0.3219019	5	ICT professionals
LTU	Administration and Management	0.4495146	2	Business & admin professionals
LTU	Administration and Management	0.3809685	3	"Skilled agricultural, forestry & fishery workers"
LTU	Administration and Management	0.3341936	4	Business & admin associate professionals
LTU	Administration and Management	0.3219019	5	ICT professionals
LUX	Administration and Management	0.4495146	2	Business & admin professionals
LUX	Administration and Management	0.3642749	3	Science & engineering professionals
LUX	Administration and Management	0.3341936	4	Business & admin associate professionals
LUX	Administration and Management	0.3219019	5	ICT professionals
LVA	Administration and Management	0.3642749	2	Science & engineering professionals
LVA	Administration and Management	0.3341936	3	Business & admin associate professionals
LVA	Administration and Management	0.3219019	4	ICT professionals
LVA	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
NLD	Administration and Management	0.4495146	2	Business & admin professionals
NLD	Administration and Management	0.3642749	3	Science & engineering professionals
NLD	Administration and Management	0.3219019	4	ICT professionals
NLD	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
NOR	Administration and Management	0.4495146	2	Business & admin professionals
NOR	Administration and Management	0.3642749	3	Science & engineering professionals
NOR	Administration and Management	0.3341936	4	Business & admin associate professionals
NOR	Administration and Management	0.3219019	5	ICT professionals
POL	Administration and Management	0.4495146	2	Business & admin professionals
POL	Administration and Management	0.3809685	3	"Skilled agricultural, forestry & fishery workers"
POL	Administration and Management	0.3642749	4	Science & engineering professionals
POL	Administration and Management	0.3219019	5	ICT professionals
PRT	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
PRT	Administration and Management	0.3219019	3	ICT professionals
PRT	Administration and Management	0.2932513	4	"Legal, social & cultural professionals"
PRT	Administration and Management	0.2920225	5	Health professionals
ROU	Administration and Management	0.3341936	2	Business & admin associate professionals
ROU	Administration and Management	0.3018155	3	Building trades workers (excl. electricians)
ROU	Administration and Management	0.2920225	4	Health professionals
ROU	Administration and Management	0.2834158	5	Science & engineering associate professionals
SWE	Administration and Management	0.4495146	2	Business & admin professionals
SWE	Administration and Management	0.3341936	3	Business & admin associate professionals
SWE	Administration and Management	0.3219019	4	ICT professionals
SWE	Administration and Management	0.2920225	5	Health professionals
SVN	Administration and Management	0.4495146	2	Business & admin professionals
SVN	Administration and Management	0.3809685	3	"Skilled agricultural, forestry & fishery workers"
SVN	Administration and Management	0.3018155	4	Building trades workers (excl. electricians)
SVN	Administration and Management	0.2932513	5	"Legal, social & cultural professionals"
SVK	Administration and Management	0.3809685	2	"Skilled agricultural, forestry & fishery workers"
SVK	Administration and Management	0.3642749	3	Science & engineering professionals
SVK	Administration and Management	0.3341936	4	Business & admin associate professionals
SVK	Administration and Management	0.3219019	5	ICT professionals
GBR	Administration and Management	0.3341936	2	Business & admin associate professionals
GBR	Administration and Management	0.3219019	3	ICT professionals
GBR	Administration and Management	0.2920225	4	Health professionals
GBR	Administration and Management	0.2696159	5	Electrical & electronic trades workers
ZAF	Administration and Management	0.4495146	2	Business & admin professionals
ZAF	Administration and Management	0.3219019	3	ICT professionals
ZAF	Administration and Management	0.2932513	4	"Legal, social & cultural professionals"
ZAF	Administration and Management	0.2920225	5	Health professionals
AUT	Arm-Hand Steadiness	0.3186068	1	Food processing & craft trades workers
BEL	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
BGR	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
CHE	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
CYP	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
CZE	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
DEU	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
DNK	Arm-Hand Steadiness	0.3186068	1	Food processing & craft trades workers
EST	Arm-Hand Steadiness	0.3186068	1	Food processing & craft trades workers
GRC	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
ESP	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
FIN	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
FRA	Arm-Hand Steadiness	0.3186068	1	Food processing & craft trades workers
HUN	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
IRL	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
ISL	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
ITA	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
LTU	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
LUX	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
LVA	Arm-Hand Steadiness	0.3186068	1	Food processing & craft trades workers
NLD	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
NOR	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
POL	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
PRT	Arm-Hand Steadiness	0.3088733	1	Assemblers
ROU	Arm-Hand Steadiness	0.3088733	1	Assemblers
SWE	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
SVN	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
SVK	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
GBR	Arm-Hand Steadiness	0.3246003	1	Handicraft & printing workers
ZAF	Arm-Hand Steadiness	0.3403986	1	Metal & machinery trades workers
AUT	Arm-Hand Steadiness	0.3111181	2	Electrical & electronic trades workers
AUT	Arm-Hand Steadiness	0.3088733	3	Assemblers
AUT	Arm-Hand Steadiness	0.2872325	4	Building trades workers (excl. electricians)
AUT	Arm-Hand Steadiness	0.2846541	5	"Skilled agricultural, forestry & fishery workers"
BEL	Arm-Hand Steadiness	0.3246003	2	Handicraft & printing workers
BEL	Arm-Hand Steadiness	0.3186068	3	Food processing & craft trades workers
BEL	Arm-Hand Steadiness	0.3088733	4	Assemblers
BEL	Arm-Hand Steadiness	0.2872325	5	Building trades workers (excl. electricians)
BGR	Arm-Hand Steadiness	0.3111181	2	Electrical & electronic trades workers
BGR	Arm-Hand Steadiness	0.2999616	3	Stationary plant & machine operators
BGR	Arm-Hand Steadiness	0.2872325	4	Building trades workers (excl. electricians)
BGR	Arm-Hand Steadiness	0.2846541	5	"Skilled agricultural, forestry & fishery workers"
CHE	Arm-Hand Steadiness	0.2999616	2	Stationary plant & machine operators
CHE	Arm-Hand Steadiness	0.2872325	3	Building trades workers (excl. electricians)
CHE	Arm-Hand Steadiness	0.2502983	4	Personal service workers
